"","dyadid","conflict_outcome","fightcaphigh","coup","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_d","gov.support_d","rtypesup_cat","gtypesup_cat"
"1",1,2,0,0,8.604193,1.791759,1,1997,"Algeria","AIS","Algeria","FIS","1992-12-01","1997-10-01","yes","alleged","military","explicit","military","0","0","2","2"
"3",3,0,0,0,8.698404,2.397895,1,2003,"Algeria","GIA","Algeria","GIA","1993-01-01","2003-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"4",7,2,0,0,7.074802,2.833213,1,1991,"Angola","UNITA","Angola, Cuba","UNITA","1975-11-11","1980-12-31","no","explicit","troops","explicit","troops","1","1","1","1"
"5",7,2,0,0,7.074802,2.833213,1,1991,"Angola","UNITA","Angola, Cuba","UNITA","1981-01-01","1988-12-31",NA,"explicit","troops","explicit","troops","1","1","1","1"
"6",7,2,0,0,7.588314,3.332205,1,2002,"Angola","UNITA","Angola, Cuba","UNITA","1975-11-11","1980-12-31","no","explicit","troops","explicit","troops","1","1","1","1"
"7",7,2,0,0,7.588314,3.332205,1,2002,"Angola","UNITA","Angola, Cuba","UNITA","1981-01-01","1988-12-31",NA,"explicit","troops","explicit","troops","1","1","1","1"
"9",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burundi","CNDD","1994-11-26","1998-05-08","no","explicit","military","explicit","military","1","1","2","2"
"11",14,2,0,0,6.637664,1.791759,1,2003,"Burundi","CNDD–FDD","Burundi","CNDD-FDD","1998-06-07","2003-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"16",20,0,0,0,6.724529,0.6931472,1,1990,"Chad","Islamic Legion","Chad","Islamic Legion","1989-01-01","1990-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"19",23,1,1,0,6.724529,0,1,1990,"Chad","MPS","Chad","MPS","1990-03-31","1990-12-02",NA,"explicit","military","explicit","military","1","1","2","2"
"21",25,2,0,0,6.724157,0,1,1997,"Chad","MDD","Chad","MDD [-FANT]","1997-01-01","1997-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"22",25,2,0,0,6.724157,0,1,1997,"Chad","MDD","Chad","MDD [-FANT]","1991-12-31","1993-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"23",25,0,0,0,6.773858,1.098612,1,1993,"Chad","MDD","Chad","MDD [-FANT]","1997-01-01","1997-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"24",25,0,0,0,6.773858,1.098612,1,1993,"Chad","MDD","Chad","MDD [-FANT]","1991-12-31","1993-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"26",27,0,0,0,6.576316,1.386294,1,2002,"Chad","MDJT","Chad","MDJT","1999-12-31","2002-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"33",40,2,1,0,5.852461,1.386294,1,2001,"Democratic Republic of Congo (Zaire)","RCD","Congo/Zaire, Zimbabwe, Angola, Namibia, Chad","RCD","1998-08-11","2001-12-31",NA,"explicit","troops","explicit","troops","1","1","1","1"
"34",41,2,0,0,5.852461,1.386294,1,2001,"Democratic Republic of Congo (Zaire)","MLC","Congo/Zaire, Zimbabwe, Angola, Namibia, Chad","MLC","1998-11-07","2001-12-31",NA,"explicit","troops","explicit","troops","1","1","1","1"
"37",44,2,0,0,8.410153,0,1,1999,"Djibouti","FRUD – AD","Djibouti","FRUD – AD","1997-09-30","1999-12-31","no","alleged","military","explicit","military","0","0","2","2"
"38",48,1,0,0,6.078032,1.098612,1,1991,"Ethiopia","EPRDF","Ethiopia","EPRDF","1989-01-08","1991-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"40",50,0,0,0,5.90039,1.386294,0,1987,"Ethiopia","EPRP","Ethiopia","EPRP","1984-01-01","1987-12-31","no","explicit","military","explicit","military","1","1","2","2"
"41",50,0,0,0,5.90039,1.386294,0,1987,"Ethiopia","EPRP","Ethiopia","EPRP","1976-12-02","1977-12-31","no","explicit","military","explicit","military","1","1","2","2"
"42",50,0,0,0,6.19363,0.6931472,0,1977,"Ethiopia","EPRP","Ethiopia","EPRP","1984-01-01","1987-12-31","no","explicit","military","explicit","military","1","1","2","2"
"43",50,0,0,0,6.19363,0.6931472,0,1977,"Ethiopia","EPRP","Ethiopia","EPRP","1976-12-02","1977-12-31","no","explicit","military","explicit","military","1","1","2","2"
"45",53,1,0,0,6.078032,2.944439,1,1991,"Ethiopia","EPLF","Ethiopia","EPLF","1973-09-01","1974-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"46",53,1,0,0,6.078032,2.944439,1,1991,"Ethiopia","EPLF","Ethiopia","EPLF","1975-01-01","1991-05-28",NA,"explicit","military","explicit","military","1","1","2","2"
"50",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote D’Ivoire","MPCI","2002-09-19","2002-12-31","yes","alleged","military","alleged","military","0","0","2","2"
"51",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote D’Ivoire","MPIGO","2002-11-11","2003-12-31",NA,"alleged","military","alleged","military","0","0","2","2"
"53",93,0,1,0,6.316081,0.6931472,1,1990,"Liberia","NPFL","Liberia","NPFL","1989-12-29","1990-09-10",NA,"explicit","military","explicit","troops","1","1","2","1"
"58",98,0,0,0,8.192463,2.70805,0,1989,"Morocco","POLISARIO","Morocco","POLISARIO","1975-01-20","1989-10-11",NA,"explicit","military","explicit","military","1","1","2","2"
"59",99,2,1,0,6.897745,2.772589,1,1992,"Mozambique","Renamo","Mozambique","Renamo","1977-01-01","1992-10-04",NA,"explicit","military","explicit","military","1","1","2","2"
"61",113,0,0,0,6.733176,0,1,1995,"Niger","FDR","Niger","FDR","1995-07-10","1995-12-31",NA,"alleged","non-military","alleged","military","0","0","3","2"
"62",127,1,1,0,6.25431,1.609438,1,1994,"Rwanda","FPR","Rwanda","FPR","1990-10-01","1994-07-19",NA,"explicit","military","explicit","military","1","1","2","2"
"63",128,0,0,0,7.046691,1.791759,1,2002,"Rwanda","FDLR","Rwanda","Opposition alliance","1997-05-25","2002-12-31","no","explicit","military","explicit","non-military","1","1","2","3"
"64",129,2,0,0,7.248888,2.639057,1,2003,"Senegal","MFDC","Senegal","MFDC","1990-09-01","2003-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"65",130,2,0,0,6.527563,2.302585,1,2000,"Sierra Leone","RUF","Sierra Leone, United Kingdom","RUF","1997-01-01","2000-11-10","yes","explicit","military","explicit","troops","1","1","2","1"
"66",130,2,0,0,6.527563,2.302585,1,2000,"Sierra Leone","RUF","Sierra Leone, United Kingdom","RUF","1991-03-23","1996-12-31","yes","explicit","military","explicit","non-military","1","1","2","3"
"71",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda","LRA","1988-02-25","2001-08-08",NA,"explicit","military","explicit","troops","1","1","2","1"
"79",191,0,0,0,7.444593,1.94591,1,1997,"Angola","FLEC–R","Angola","FLEC","1991-06-03","1997-12-31","yes","explicit","military","explicit","troops","1","1","2","1"
"80",191,0,0,0,7.588314,0,1,2002,"Angola","FLEC–R","Angola","FLEC","1991-06-03","1997-12-31","yes","explicit","military","explicit","troops","1","1","2","1"
"85",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","USC Faction","1991-01-29","1996-12-31",NA,"alleged","non-military","explicit","military","0","0","3","2"
"86",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","SRRC","2001-05-12","2002-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"88",219,3,0,1,9.111936,0,1,1990,"Trinidad and Tobago","Jamaat al-Muslimeen","Trinidad and Tobago","Jamaat al-Muslimeen","1990-07-27","1990-08-01",NA,"alleged","non-military","explicit","non-military","0","0","3","3"
"91",225,2,0,0,8.231065,2.484907,1,1991,"El Salvador","FMLN","El Salvador","FMLN","1980-09-02","1991-12-31","no","explicit","military","explicit","military","1","1","2","2"
"94",231,2,0,0,8.270865,2.197225,1,1990,"Nicaragua","Contras/FDN","Nicaragua","FDN/Contras","1982-03-18","1990-04-19",NA,"explicit","military","explicit","military","1","1","2","2"
"97",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","FARC","1978-01-01","2011-12-31","yes","explicit","non-military","explicit","military","1","1","3","2"
"98",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","FARC","1964-01-01","1977-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"100",241,0,0,0,8.355189,1.791759,1,1998,"Egypt","al-Gama'a al-Islamiyya","Egypt","al-Gamaa al-Islamiyya","1993-03-17","1998-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"105",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote D’Ivoire","MJP","2002-12-03","2003-12-31",NA,"alleged","military","alleged","military","0","0","2","2"
"109",247,2,0,0,8.056978,3.091043,1,1993,"Philippines","MNLF","Philippines","MNLF","1981-01-01","1993-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"110",247,2,0,0,8.056978,3.091043,1,1993,"Philippines","MNLF","Philippines","MNLF","1972-12-31","1980-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
