outcome_d,intervention,fightcaphigh,mi_fightcap,troops2rebs,coup,land,lngdp,lnyears,postCW,outcome_dy,exgov_combat,strongrebs_dy,mi_strongrebs_dy,exreb_combat,coup_dy,land,lngdp,lnyears,postCW,dyad_id,year,conflictid,Government,Opposition
,,0,,,,0,8.63372,0,1,0,0,0,0,0,0,0,8.63372,0,1,1,1992,191,"Algeria","AIS"
,,0,,,,0,8.599702,.6931472,1,0,0,0,0,0,0,0,8.599702,.6931472,1,1,1993,191,"Algeria","AIS"
,,0,,,,0,8.561627,1.098612,1,0,0,0,0,0,0,0,8.561627,1.098612,1,1,1994,191,"Algeria","AIS"
,,0,,,,0,8.579838,1.386294,1,0,0,0,0,0,0,0,8.579838,1.386294,1,1,1995,191,"Algeria","AIS"
,,0,,,,0,8.614567,1.609438,1,0,0,0,0,0,0,0,8.614567,1.609438,1,1,1996,191,"Algeria","AIS"
2,0,0,0,0,0,0,8.604193,1.791759,1,3,0,0,0,0,0,0,8.604193,1.791759,1,1,1997,191,"Algeria","AIS"
0,0,0,0,0,0,0,8.620814,0,1,2,0,0,0,0,0,0,8.620814,0,1,2,1991,191,"Algeria","Takfir wa'l Hijra"
,,0,,,,0,8.599702,0,1,0,0,0,0,0,0,0,8.599702,0,1,3,1993,191,"Algeria","GIA"
,,0,,,,0,8.561627,.6931472,1,0,0,0,0,0,0,0,8.561627,.6931472,1,3,1994,191,"Algeria","GIA"
,,0,,,,0,8.579838,1.098612,1,0,0,0,0,0,0,0,8.579838,1.098612,1,3,1995,191,"Algeria","GIA"
,,0,,,,0,8.614567,1.386294,1,0,0,0,0,0,0,0,8.614567,1.386294,1,3,1996,191,"Algeria","GIA"
,,0,,,,0,8.604193,1.609438,1,0,0,0,0,0,0,0,8.604193,1.609438,1,3,1997,191,"Algeria","GIA"
,,0,,,,0,8.613964,1.791759,1,0,0,0,0,0,0,0,8.613964,1.791759,1,3,1998,191,"Algeria","GIA"
,,0,,,,0,8.632417,1.94591,1,0,0,0,0,0,0,0,8.632417,1.94591,1,3,1999,191,"Algeria","GIA"
,,0,,,,0,8.657497,2.079442,1,0,0,0,0,0,0,0,8.657497,2.079442,1,3,2000,191,"Algeria","GIA"
,,0,,,,0,8.652778,2.197225,1,0,0,0,0,0,0,0,8.652778,2.197225,1,3,2001,191,"Algeria","GIA"
,,0,,,,0,8.652341,2.302585,1,0,0,0,0,0,0,0,8.652341,2.302585,1,3,2002,191,"Algeria","GIA"
0,0,0,0,0,0,0,8.698404,2.397895,1,2,0,0,0,0,0,0,8.698404,2.397895,1,3,2003,191,"Algeria","GIA"
,,0,,,,0,8.632417,0,1,0,0,0,0,0,0,0,8.632417,0,1,4,1999,191,"Algeria","AQIM"
,,0,,,,0,8.657497,.6931472,1,0,0,0,0,0,0,0,8.657497,.6931472,1,4,2000,191,"Algeria","AQIM"
,,0,,,,0,8.652778,1.098612,1,0,0,0,0,0,0,0,8.652778,1.098612,1,4,2001,191,"Algeria","AQIM"
,,0,,,,0,8.652341,1.386294,1,0,0,0,0,0,0,0,8.652341,1.386294,1,4,2002,191,"Algeria","AQIM"
,,0,,,,0,8.698404,1.609438,1,0,0,0,0,0,0,0,8.698404,1.609438,1,4,2003,191,"Algeria","AQIM"
,,0,,,,0,8.698404,1.791759,1,0,1,0,0,0,0,0,8.698404,1.791759,1,4,2004,191,"Algeria","AQIM"
,,0,,,,0,,1.94591,1,0,0,0,0,0,0,0,,1.94591,1,4,2005,191,"Algeria","AQIM"
,,0,,,,0,,2.079442,1,0,0,0,0,0,0,0,,2.079442,1,4,2006,191,"Algeria","AQIM"
,,0,,,,0,,2.197225,1,0,0,0,0,,0,0,,2.197225,1,4,2007,191,"Algeria","AQIM"
,,0,,,,0,,2.302585,1,0,0,0,0,0,0,0,,2.302585,1,4,2008,191,"Algeria","AQIM"
,,0,,,,0,,2.397895,1,0,1,0,0,0,0,0,,2.397895,1,4,2009,191,"Algeria","AQIM"
,0,0,0,0,0,0,,2.484907,1,,,0,0,,0,0,,2.484907,1,4,2010,191,"Algeria","AQIM"
,,0,,,,0,6.955202,0,0,0,1,0,0,1,0,0,6.955202,0,0,7,1975,131,"Angola","UNITA"
,,0,,,,0,6.834679,.6931472,0,0,1,0,0,1,0,0,6.834679,.6931472,0,7,1976,131,"Angola","UNITA"
,,0,,,,0,6.831587,1.098612,0,0,1,0,0,0,0,0,6.831587,1.098612,0,7,1977,131,"Angola","UNITA"
,,0,,,,0,6.857556,1.386294,0,0,1,0,0,0,0,0,6.857556,1.386294,0,7,1978,131,"Angola","UNITA"
,,0,,,,0,6.856051,1.609438,0,0,1,0,0,0,0,0,6.856051,1.609438,0,7,1979,131,"Angola","UNITA"
,1,0,0,1,0,0,6.875501,1.791759,0,0,1,0,0,1,0,0,6.875501,1.791759,0,7,1980,131,"Angola","UNITA"
,,0,,,,0,6.837751,1.94591,0,0,1,0,0,1,0,0,6.837751,1.94591,0,7,1981,131,"Angola","UNITA"
,,0,,,,0,6.881401,2.079442,0,0,1,0,0,1,0,0,6.881401,2.079442,0,7,1982,131,"Angola","UNITA"
,,0,,,,0,6.872532,2.197225,0,0,1,0,0,1,0,0,6.872532,2.197225,0,7,1983,131,"Angola","UNITA"
,,0,,,,0,6.898926,2.302585,0,0,1,0,0,1,0,0,6.898926,2.302585,0,7,1984,131,"Angola","UNITA"
,,0,,,,0,6.92746,2.397895,0,0,1,0,0,1,0,0,6.92746,2.397895,0,7,1985,131,"Angola","UNITA"
,,0,,,,0,6.924642,2.484907,0,0,1,0,0,1,0,0,6.924642,2.484907,0,7,1986,131,"Angola","UNITA"
,,0,,,,0,6.935857,2.564949,0,0,1,0,0,1,0,0,6.935857,2.564949,0,7,1987,131,"Angola","UNITA"
,1,0,0,1,0,0,6.957925,2.639057,0,0,1,0,0,1,0,0,6.957925,2.639057,0,7,1988,131,"Angola","UNITA"
,,0,,,,0,6.91329,2.70805,0,0,1,0,0,0,0,0,6.91329,2.70805,0,7,1989,131,"Angola","UNITA"
,,0,,,,0,6.997303,2.772589,1,0,1,0,0,0,0,0,6.997303,2.772589,1,7,1990,131,"Angola","UNITA"
2,0,0,0,0,0,0,7.074802,2.833213,1,0,1,0,0,0,0,0,7.074802,2.833213,1,7,1991,131,"Angola","UNITA"
,0,1,0,0,0,0,7.146725,2.890372,1,0,0,1,0,0,0,0,7.146725,2.890372,1,7,1992,131,"Angola","UNITA"
,,0,,,,0,7.494831,2.944439,1,0,0,1,0,0,0,0,7.494831,2.944439,1,7,1993,131,"Angola","UNITA"
,,0,,,,0,7.276695,2.995732,1,0,0,1,0,0,0,0,7.276695,2.995732,1,7,1994,131,"Angola","UNITA"
,,0,,,,0,7.335849,3.044523,1,0,0,1,0,0,0,0,7.335849,3.044523,1,7,1995,131,"Angola","UNITA"
,,0,,,,0,7.21382,3.178054,1,0,0,1,0,0,0,0,7.21382,3.178054,1,7,1998,131,"Angola","UNITA"
,,0,,,,0,7.588314,3.218876,1,0,1,1,1,0,0,0,7.588314,3.218876,1,7,1999,131,"Angola","UNITA"
,,0,,,,0,7.542664,3.258096,1,0,1,1,1,0,0,0,7.542664,3.258096,1,7,2000,131,"Angola","UNITA"
,,0,,,,0,7.588314,3.295837,1,0,1,1,1,0,0,0,7.588314,3.295837,1,7,2001,131,"Angola","UNITA"
2,0,0,0,0,0,0,7.588314,3.332205,1,3,0,0,0,0,0,0,7.588314,3.332205,1,7,2002,131,"Angola","UNITA"
,,0,,,,0,7.004238,0,1,0,0,0,0,0,0,0,7.004238,0,1,11,1991,90,"Burundi","Palipehutu"
2,0,0,0,0,0,0,7.006596,.6931472,1,3,0,0,0,0,0,0,7.006596,.6931472,1,11,1992,90,"Burundi","Palipehutu"
,,0,,,,0,6.743081,0,1,0,0,0,0,0,0,0,6.743081,0,1,12,1994,90,"Burundi","CNDD"
,,0,,,,0,6.745119,.6931472,1,0,0,0,0,0,0,0,6.745119,.6931472,1,12,1995,90,"Burundi","CNDD"
,,0,,,,0,6.643672,1.098612,1,0,0,0,0,0,0,0,6.643672,1.098612,1,12,1996,90,"Burundi","CNDD"
,,0,,,,0,6.632397,1.386294,1,0,0,0,0,0,0,0,6.632397,1.386294,1,12,1997,90,"Burundi","CNDD"
,0,0,0,0,0,0,6.659576,1.609438,1,,0,0,0,0,0,0,6.659576,1.609438,1,12,1998,90,"Burundi","CNDD"
2,0,0,0,0,0,0,6.632397,0,1,3,0,0,0,0,0,0,6.632397,0,1,13,1997,90,"Burundi","Frolina"
,,0,,,,0,6.659576,0,1,0,0,0,0,0,0,0,6.659576,0,1,14,1998,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.713721,.6931472,1,0,0,0,0,0,0,0,6.713721,.6931472,1,14,1999,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.549422,1.098612,1,0,0,0,0,0,0,0,6.549422,1.098612,1,14,2000,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.572646,1.386294,1,0,0,0,0,0,0,0,6.572646,1.386294,1,14,2001,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.633766,1.609438,1,0,0,0,0,0,0,0,6.633766,1.609438,1,14,2002,90,"Burundi","CNDD–FDD"
2,0,0,0,0,0,0,6.637664,1.791759,1,3,0,0,0,0,0,0,6.637664,1.791759,1,14,2003,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.632397,0,1,0,0,0,0,0,0,0,6.632397,0,1,15,1997,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.659576,.6931472,1,0,0,0,0,0,0,0,6.659576,.6931472,1,15,1998,90,"Burundi","Palipehutu–FNL"
