"","conflictid","dyadid","outcome_d","fightcaphigh","coup","land","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebestimate","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_dummy","gov.support_dummy","rtypesup_cat","gtypesup_cat"
"1",1,462,1,1,1,0,NA,0,0,1946,"Bolivia","Popular Revolutionary Movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,463,1,0,1,0,8.016972,0,0,1952,"Bolivia","MNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,464,3,0,0,0,8.012558,0,0,1967,"Bolivia","ELN","Bolivia","ELN","1967-03-01","1967-10-16","no",100,"explicit","military","explicit","military",1,1,"2",2
"4",2,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","Khmer Issarak","1946-08-01","1953-11-09","yes",6000,"explicit","military","explicit","military",1,1,"2",2
"5",3,466,1,0,0,0,NA,1.386294,0,1949,"China","PLA","China","Peoples Liberation Army","1946-01-01","1949-10-1","no",1e+06,"explicit","military","explicit","military",1,1,"2",2
"6",4,467,3,0,0,0,NA,1.386294,0,1949,"Greece","DSE","Greece","DSE","1946-03-01","1949-10-16","no",23000,"explicit","military","explicit","military",1,1,"2",2
"7",6,260,3,0,0,1,NA,0,0,1946,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,10000,"explicit","troops","explicit","non-military",1,1,"1",3
"8",6,260,0,0,0,1,8.589289,2.890372,1,1996,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,10000,"explicit","troops","explicit","non-military",1,1,"1",3
"9",6,260,0,0,0,1,8.466536,1.098612,0,1968,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,10000,"explicit","troops","explicit","non-military",1,1,"1",3
"10",7,468,3,0,0,1,NA,0,0,1946,"Iran","Republic of Azerbaijan","Iran","Republic of Azerbaijan","1945-11-19","1946-12-15","yes",NA,"explicit","troops","explicit","non-military",1,1,"1",3
"11",10,220,0,0,1,0,8.075138,1.386294,1,1990,"Philippines","Military Faction (forces of Honasan, Abenina & Zumel)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",10,469,3,1,0,0,7.446766,2.197225,0,1954,"Philippines","Huk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",11,478,3,0,0,1,NA,1.098612,0,1948,"Russia (Soviet Union)","Forest Brothers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",12,479,3,0,0,1,NA,0,0,1946,"Russia (Soviet Union)","LTS(p)A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",12,481,3,0,0,1,NA,0,0,1946,"Russia (Soviet Union)","LNPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",13,482,3,0,0,1,NA,1.098612,0,1948,"Russia (Soviet Union)","BDPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",14,483,3,0,0,1,8.142756,1.609438,0,1950,"Russia (Soviet Union)","UPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,580,3,0,0,1,NA,0,0,1947,"China","Taiwanese insurgents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22,474,1,1,1,0,8.551548,0,0,1989,"Paraguay","Military Faction (forces of Andres Rodriguez)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",22,671,1,1,1,0,7.781443,0,0,1954,"Paraguay","Military faction (forces of Alfredo Stroessner)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",22,673,3,0,0,0,NA,0,0,1947,"Paraguay","Opposition coalition (Febreristas, Liberals and Communists)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",23,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","KNU","1988-01-01","2011-12-31","no",6000,"explicit","military","explicit","military",1,1,"2",2
"23",23,314,3,0,0,1,6.77588,0,1,2000,"Myanmar","God's army",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,305,0,0,0,0,6.494177,3.713572,0,1988,"Myanmar","CPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",24,322,0,0,0,0,6.77588,1.609438,1,1994,"Myanmar","ABSDF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",24,677,3,0,0,0,6.396263,3.135494,0,1970,"Myanmar","CPB–RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",24,677,0,0,0,0,5.790143,1.098612,0,1950,"Myanmar","CPB–RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",24,678,0,0,0,0,5.909848,1.791759,0,1953,"Myanmar","PVO – ""White Band"" faction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",25,312,0,0,0,1,6.77588,1.386294,1,1994,"Myanmar","RSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",25,323,0,0,0,1,6.77588,0.6931472,1,1992,"Myanmar","ARIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",25,794,0,0,0,1,6.507113,1.791759,0,1978,"Myanmar","RPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",25,795,3,0,0,1,6.463341,0,0,1977,"Myanmar","ALP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",25,799,2,0,0,1,5.959199,2.302585,0,1957,"Myanmar","APLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",25,800,3,0,0,1,6.106978,2.639057,0,1961,"Myanmar","Mujahid Party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",25,801,0,0,0,1,6.398662,3.218876,0,1972,"Myanmar","ANLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",25,802,0,0,0,1,6.379376,2.302585,0,1973,"Myanmar","CPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",26,310,0,0,0,1,6.77588,3.465736,1,1990,"Myanmar","NMSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",26,310,0,0,0,1,6.396263,1.609438,0,1963,"Myanmar","NMSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",26,326,3,0,0,1,6.77588,0,1,1996,"Myanmar","BMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",26,684,2,0,0,1,5.921471,1.94591,0,1958,"Myanmar","MPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",27,581,1,1,0,0,NA,0,0,1948,"Costa Rica","National Liberation Army",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",29,689,0,0,0,0,6.622337,1.386294,0,1951,"India","CPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",29,690,0,0,0,0,7.078611,1.098612,0,1971,"India","CPI–ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",33,615,1,1,0,0,NA,0,0,1948,"North Yemen","Opposition coalition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",33,616,2,0,0,0,7.139565,2.197225,0,1970,"North Yemen","Royalists","Yemen [North], Egypt","Royalists","1962-10-01","1970-03-15","no",NA,"explicit","troops","explicit","troops",1,1,"1",1
"46",33,617,2,0,0,0,7.597843,1.386294,0,1982,"North Yemen","National Democratic Front","Yemen [North]","National Democratic Front","1979-03-01","1982-05-31","yes",NA,"explicit","military","explicit","military",1,1,"2",2
"47",34,304,2,0,0,1,6.77588,3.465736,1,1992,"Myanmar","KIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",34,753,3,0,0,1,5.790143,0.6931472,0,1950,"Myanmar","PNDF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",36,228,2,0,0,0,8.19181,2.639057,1,1995,"Guatemala","URNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",36,621,3,0,1,0,NA,0,0,1949,"Guatemala","Military faction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",36,622,1,1,0,0,7.731356,0,0,1954,"Guatemala","Forces of Carlos Castillo Armas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",36,624,0,0,0,0,8.172031,2.484907,0,1974,"Guatemala","FAR I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",37,377,2,0,0,1,NA,2.890372,1,2007,"Israel","Fatah","Israel","Fatah","2000-11-01","2007-12-31",NA,2000,"explicit","non-military","explicit","military",1,1,"3",2
"54",37,380,0,0,0,1,9.886601,0,1,1995,"Israel","PIJ","Israel","PIJ","2002-01-01","2011-12-31",NA,500,"explicit","non-military","explicit","military",1,1,"3",2
"55",37,381,0,0,0,1,NA,2.833213,1,2009,"Israel","Hamas","Israel","Hamas","1993-09-12","1994-12-31",NA,400,"explicit","non-military","explicit","military",1,1,"3",2
"56",37,381,0,0,0,1,NA,2.833213,1,2009,"Israel","Hamas","Israel","Hamas","2001-01-01","2011-12-31",NA,400,"explicit","non-military","explicit","military",1,1,"3",2
"57",37,381,0,0,0,1,9.842463,0.6931472,1,1994,"Israel","Hamas","Israel","Hamas","1993-09-12","1994-12-31",NA,400,"explicit","non-military","explicit","military",1,1,"3",2
"58",37,381,0,0,0,1,9.842463,0.6931472,1,1994,"Israel","Hamas","Israel","Hamas","2001-01-01","2011-12-31",NA,400,"explicit","non-military","explicit","military",1,1,"3",2
"59",37,419,0,0,0,1,9.665949,0,0,1989,"Israel","PFLP","Israel","PFLP","2001-01-01","2001-12-31",NA,900,"explicit","military","explicit","military",1,1,"2",2
"60",37,419,0,0,0,1,9.665949,0,0,1989,"Israel","PFLP","Israel","PFLP","1989-01-01","1989-12-31",NA,900,"explicit","military","explicit","military",1,1,"2",2
"61",37,419,0,0,0,1,9.980485,0,1,2001,"Israel","PFLP","Israel","PFLP","2001-01-01","2001-12-31",NA,900,"explicit","military","explicit","military",1,1,"2",2
"62",37,419,0,0,0,1,9.980485,0,1,2001,"Israel","PFLP","Israel","PFLP","1989-01-01","1989-12-31",NA,900,"explicit","military","explicit","military",1,1,"2",2
"63",37,427,0,0,0,1,9.920374,0,1,1996,"Israel","PNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",37,427,2,0,0,1,9.949686,1.098612,1,2002,"Israel","PNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",37,428,0,0,0,1,9.665949,0,0,1989,"Israel","PFLP–GC","Israel","PFLP-GC","1989-01-01","1989-12-31",NA,1000,"explicit","military","explicit","military",1,1,"2",2
"66",37,629,0,0,0,1,NA,0,1,2006,"Israel","PRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",37,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel","Rejectionist Front","1974-01-01","1988-12-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"68",37,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel","PLO/Fatah","1965-01-03","1993-09-13",NA,4500,"explicit","military","explicit","military",1,1,"2",2
"69",39,606,3,0,0,1,6.113372,0,0,1959,"China","Tibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",39,606,0,0,0,1,5.963605,0,0,1956,"China","Tibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",39,606,0,0,0,1,5.78794,0,0,1950,"China","Tibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",40,605,3,0,0,1,6.97661,0,0,1950,"Indonesia","Republic of South Moluccas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",43,598,3,0,1,0,6.936556,0,0,1951,"Thailand","Military faction (Navy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",43,599,0,0,0,0,8.012025,2.197225,0,1982,"Thailand","CPT","Thailand","CPT","1974-10-01","1982-04-15","no",10000,"explicit","military","explicit","military",1,1,"2",2
"75",45,600,3,0,1,0,7.889088,0,0,1953,"Cuba","M-26-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",45,600,1,0,0,0,7.889088,1.098612,0,1958,"Cuba","M-26-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",45,602,3,0,0,0,7.889088,0,0,1961,"Cuba","Cuban Revolutionary Council","Cuba","National Revolutionary Council","1961-04-17","1961-04-20",NA,1000,"explicit","military","explicit","non-military",1,1,"2",3
"78",46,595,3,0,0,0,7.000981,1.386294,0,1961,"Indonesia","Darul Islam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",46,595,0,0,0,0,6.97661,0,0,1953,"Indonesia","Darul Islam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",46,596,3,0,0,0,7.000981,1.386294,0,1961,"Indonesia","PRRI","Indonesia","PRRI","1958-02-15","1961-12-31","yes",NA,"explicit","military","explicit","non-military",1,1,"2",3
"81",46,752,3,0,0,0,7.000981,1.386294,0,1961,"Indonesia","Permesta movement","Indonesia","Permesta movement","1958-02-15","1961-12-31",NA,NA,"explicit","military","explicit","non-military",1,1,"2",3
"82",50,590,1,1,1,0,8.90191,0,0,1955,"Argentina","Military faction (forces of Eduardo A. Lonardi Doucet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",50,592,3,0,1,0,8.921309,0,0,1963,"Argentina","Military faction (Colorados)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",50,593,3,0,0,0,9.272989,1.098612,0,1977,"Argentina","Montoneros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",50,594,3,0,0,0,9.272989,1.386294,0,1977,"Argentina","ERP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",50,810,3,0,1,0,8.90191,0,0,1955,"Argentina","Military faction (forces of Samuel Toranzo Calderón)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",52,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Vietnam, USA","FNL","1955-04-01","1964-12-31","no",40000,"explicit","military","explicit","troops",1,1,"2",1
"88",54,286,2,0,0,1,7.879992,2.197225,1,2000,"India","NSCN – IM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",54,453,0,0,0,1,NA,1.098612,1,2007,"India","NSCN – K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",54,711,0,0,0,1,6.969321,2.564949,0,1968,"India","NNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",56,311,0,0,0,1,6.77588,0,1,1992,"Myanmar","KNPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",56,311,0,0,0,1,NA,0,1,2005,"Myanmar","KNPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",56,311,0,0,0,1,5.959199,0,0,1957,"Myanmar","KNPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",56,311,0,0,0,1,6.657896,0,0,1987,"Myanmar","KNPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",56,311,0,0,0,1,6.77588,0,1,1996,"Myanmar","KNPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",59,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France, Spain","National Liberation Army","1957-01-12","1958-03-01",NA,5000,"explicit","military","explicit","military",1,1,"2",2
"97",60,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain","NLA","1957-10-1","1958-6-30",NA,2000,"explicit","military","explicit","military",1,1,"2",2
"98",61,607,3,0,0,1,7.841776,0,0,1957,"Oman","State of Oman/Free Oman","Muscat and Oman, United Kingdom","State of Oman/Free Oman","1957-07-01","1957-08-12",NA,NA,"explicit","endorsement; alleged military","explicit","troops",1,1,"endorsement; alleged military",1
"99",62,298,0,0,0,0,8.008066,1.791759,0,1987,"Iraq","SCIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",62,298,0,0,0,0,7.58765,1.791759,1,1996,"Iraq","SCIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",62,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iraq","Al-Mahdi Army","2004-01-01","2008-12-31","yes",60000,"alleged","military","explicit","military",0,1,"2",2
"102",62,578,0,0,0,0,NA,1.098612,1,2007,"Iraq","RJF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",62,717,1,1,1,0,8.355079,0,0,1958,"Iraq","Military Faction (Free Officers Movement)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",62,718,3,0,1,0,8.347289,0,0,1959,"Iraq","Military faction (forces of Abdul Wahab al-Shawaf)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",62,719,1,1,1,0,8.528987,0,0,1963,"Iraq","Military faction (forces of Abd as-Salam Arif)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",62,720,1,1,1,0,8.528987,0,0,1963,"Iraq","NCRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",63,376,3,1,0,0,8.185364,0.6931472,1,1990,"Lebanon","Lebanese Army (Aoun)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",63,383,2,1,0,0,8.185364,0,0,1989,"Lebanon","Lebanese Forces","Lebanon","Lebanese Forces","1989-01-01","1989-09-23",NA,6000,"explicit","military","explicit","troops",1,1,"2",1
"109",63,570,2,1,0,0,8.185364,0,0,1958,"Lebanon","Independent Nasserite Movement /Mourabitoun militia","Lebanon","Independent Nasserite Movement /Mourabitoun militia","1958-05-15","1958-10-15",NA,NA,"alleged","military","explicit","troops",0,1,"2",1
"110",63,722,2,1,0,0,8.185364,2.302585,0,1984,"Lebanon","LNM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",63,722,2,1,0,0,8.185364,0.6931472,0,1976,"Lebanon","LNM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",63,723,2,1,0,0,8.185364,0,0,1976,"Lebanon","LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",63,725,0,1,0,0,8.185364,0.6931472,0,1986,"Lebanon","NUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
